Supplier_ID,Category,Country,Avg_Lead_Time(Days),On_Time_Rate,Defect_Rate_%,Quality_Score(Out_of_5),Last_Audit_Date,Certification_Status
SUP040,Cocoa,Ivory Coast,50.0,0.3333,2.95,1.82,31/12/2025,BRC
SUP041,Sweeteners,Brazil,32.0,0.9333,4.58,2.97,31/12/2025,PENDING
SUP042,Sweeteners,India,38.0,0.7333,3.31,2.88,31/12/2025,FSSC22000
SUP043,Sweeteners,Brazil,45.0,0.5,1.03,3.09,31/12/2025,BRC
SUP044,Sweeteners,India,42.0,0.6,4.73,1.91,31/12/2025,BRC
SUP045,Sweeteners,Brazil,40.0,0.6667,3.32,2.67,31/12/2025,PENDING
SUP046,Sweeteners,India,44.0,0.5333,2.01,2.8,31/12/2025,BRC
SUP047,Sweeteners,Brazil,34.0,0.8667,1.13,4.15,31/12/2025,BRC
SUP048,Sweeteners,India,39.0,0.7,4.07,2.47,31/12/2025,PENDING
SUP049,Sweeteners,India,45.0,0.5,3.29,2.18,31/12/2025,ISO9001
SUP050,Sweeteners,India,54.0,0.2,2.9,1.44,31/12/2025,PENDING
SUP051,Sweeteners,Brazil,32.0,0.9333,4.52,2.99,31/12/2025,ISO9001
SUP052,Sweeteners,India,57.0,0.1,4.05,0.68,31/12/2025,FSSC22000
SUP053,Sweeteners,Brazil,31.0,0.9667,1.18,4.43,31/12/2025,ISO9001
SUP054,Sweeteners,India,46.0,0.4667,1.9,2.64,31/12/2025,ISO9001
SUP055,Sweeteners,Brazil,33.0,0.9,1.62,4.05,31/12/2025,FSSC22000
SUP056,Sweeteners,India,33.0,0.9,3.85,3.16,31/12/2025,ISO9001
SUP057,Sweeteners,Brazil,59.0,0.0333,0.65,1.84,31/12/2025,PENDING
SUP058,Sweeteners,Brazil,36.0,0.8,3.06,3.18,31/12/2025,ISO9001
SUP059,Sweeteners,India,54.0,0.2,3.93,1.03,31/12/2025,FSSC22000
SUP060,Sweeteners,Brazil,60.0,0.0,4.45,0.22,31/12/2025,PENDING
SUP061,Sweeteners,Brazil,47.0,0.4333,2.04,2.48,31/12/2025,FSSC22000
SUP062,Sweeteners,India,53.0,0.2333,4.2,1.02,31/12/2025,FSSC22000
SUP063,Sweeteners,Brazil,54.0,0.2,1.0,2.2,31/12/2025,BRC
SUP064,Sweeteners,Brazil,51.0,0.3,4.31,1.18,31/12/2025,BRC
SUP065,Sweeteners,Brazil,51.0,0.3,1.07,2.47,31/12/2025,FSSC22000
SUP066,Sweeteners,India,58.0,0.0667,2.29,1.28,31/12/2025,FSSC22000
SUP067,Sweeteners,Brazil,38.0,0.7333,4.09,2.56,31/12/2025,FSSC22000
SUP068,Sweeteners,India,36.0,0.8,1.17,3.93,31/12/2025,BRC
SUP069,Sweeteners,Brazil,43.0,0.5667,1.53,3.09,31/12/2025,BRC
SUP070,Sweeteners,Brazil,43.0,0.5667,3.75,2.2,31/12/2025,ISO9001
SUP071,Sweeteners,Brazil,54.0,0.2,3.74,1.1,31/12/2025,ISO9001
SUP072,Sweeteners,India,32.0,0.9333,3.39,3.44,31/12/2025,FSSC22000
SUP073,Sweeteners,Brazil,39.0,0.7,3.62,2.65,31/12/2025,PENDING
SUP074,Sweeteners,Brazil,34.0,0.8667,2.94,3.42,31/12/2025,PENDING
SUP075,Sweeteners,India,56.0,0.1333,1.63,1.75,31/12/2025,BRC
SUP076,Sweeteners,Brazil,37.0,0.7667,2.06,3.48,31/12/2025,BRC
SUP077,Sweeteners,India,50.0,0.3333,1.32,2.47,31/12/2025,BRC
SUP078,Sweeteners,India,55.0,0.1667,4.59,0.66,31/12/2025,FSSC22000
SUP079,Sweeteners,Brazil,32.0,0.9333,3.13,3.55,31/12/2025,PENDING
SUP080,Sweeteners,India,60.0,0.0,2.3,1.08,31/12/2025,ISO9001
SUP081,Dairy,Belgium,44.0,0.5333,2.58,2.57,31/12/2025,FSSC22000
SUP082,Dairy,France,42.0,0.6,4.76,1.9,31/12/2025,ISO9001
SUP083,Dairy,France,38.0,0.7333,1.19,3.72,31/12/2025,ISO9001
SUP084,Dairy,Belgium,53.0,0.2333,3.14,1.44,31/12/2025,FSSC22000
SUP085,Dairy,France,30.0,1.0,2.78,3.89,31/12/2025,ISO9001
SUP086,Dairy,France,40.0,0.6667,3.25,2.7,31/12/2025,PENDING
SUP087,Dairy,Belgium,52.0,0.2667,0.58,2.57,31/12/2025,ISO9001
SUP088,Dairy,France,46.0,0.4667,4.42,1.63,31/12/2025,PENDING
SUP089,Dairy,Belgium,34.0,0.8667,4.69,2.72,31/12/2025,PENDING
SUP090,Dairy,France,55.0,0.1667,3.04,1.28,31/12/2025,PENDING
SUP091,Dairy,Belgium,32.0,0.9333,3.63,3.35,31/12/2025,BRC
SUP092,Dairy,Belgium,35.0,0.8333,4.65,2.64,31/12/2025,ISO9001
SUP093,Dairy,France,44.0,0.5333,3.68,2.13,31/12/2025,FSSC22000
SUP094,Dairy,France,43.0,0.5667,1.19,3.22,31/12/2025,FSSC22000
SUP095,Dairy,France,57.0,0.1,3.09,1.06,31/12/2025,ISO9001
SUP096,Dairy,Germany,56.0,0.1333,3.23,1.11,31/12/2025,BRC
SUP097,Dairy,Germany,49.0,0.3667,2.41,2.14,31/12/2025,BRC
SUP098,Dairy,Germany,36.0,0.8,3.81,2.88,31/12/2025,PENDING
SUP099,Dairy,Belgium,42.0,0.6,4.7,1.92,31/12/2025,ISO9001
SUP100,Dairy,France,44.0,0.5333,4.67,1.73,31/12/2025,ISO9001
SUP101,Dairy,Belgium,45.0,0.5,2.53,2.49,31/12/2025,FSSC22000
SUP102,Dairy,Germany,44.0,0.5333,1.01,3.2,31/12/2025,ISO9001
SUP103,Dairy,France,54.0,0.2,4.93,0.63,31/12/2025,BRC
SUP104,Dairy,Belgium,37.0,0.7667,4.28,2.59,31/12/2025,ISO9001
SUP105,Dairy,France,55.0,0.1667,1.06,2.08,31/12/2025,FSSC22000
SUP106,Dairy,Belgium,54.0,0.2,4.64,0.74,31/12/2025,PENDING
SUP107,Dairy,France,54.0,0.2,4.41,0.84,31/12/2025,FSSC22000
SUP108,Dairy,Germany,58.0,0.0667,2.83,1.07,31/12/2025,FSSC22000
SUP109,Dairy,Germany,47.0,0.4333,3.16,2.04,31/12/2025,PENDING
SUP110,Dairy,France,32.0,0.9333,2.3,3.88,31/12/2025,FSSC22000
SUP111,Dairy,Belgium,46.0,0.4667,0.75,3.1,31/12/2025,FSSC22000
SUP112,Dairy,Germany,56.0,0.1333,2.01,1.6,31/12/2025,ISO9001
SUP113,Dairy,Germany,38.0,0.7333,4.11,2.56,31/12/2025,ISO9001
SUP114,Dairy,Germany,43.0,0.5667,0.52,3.49,31/12/2025,PENDING
SUP115,Dairy,France,53.0,0.2333,2.0,1.9,31/12/2025,ISO9001
SUP116,Dairy,France,32.0,0.9333,2.29,3.88,31/12/2025,ISO9001
SUP117,Dairy,Belgium,53.0,0.2333,2.92,1.53,31/12/2025,FSSC22000
SUP118,Dairy,Belgium,40.0,0.6667,4.64,2.14,31/12/2025,BRC
SUP119,Dairy,Belgium,49.0,0.3667,2.06,2.28,31/12/2025,ISO9001
SUP120,Dairy,France,53.0,0.2333,2.06,1.88,31/12/2025,BRC
SUP121,Packaging,USA,51.0,0.3,3.82,1.37,31/12/2025,ISO9001
SUP122,Packaging,USA,50.0,0.3333,2.53,1.99,31/12/2025,ISO9001
SUP123,Packaging,China,31.0,0.9667,1.51,4.3,31/12/2025,PENDING
SUP124,Packaging,China,37.0,0.7667,2.54,3.28,31/12/2025,PENDING
SUP125,Packaging,USA,56.0,0.1333,1.13,1.95,31/12/2025,PENDING
SUP126,Packaging,China,43.0,0.5667,1.29,3.18,31/12/2025,BRC
SUP127,Packaging,China,47.0,0.4333,2.74,2.2,31/12/2025,FSSC22000
SUP128,Packaging,USA,56.0,0.1333,2.39,1.44,31/12/2025,ISO9001
SUP129,Packaging,China,31.0,0.9667,4.62,3.05,31/12/2025,ISO9001
SUP130,Packaging,USA,43.0,0.5667,2.13,2.85,31/12/2025,ISO9001
SUP131,Packaging,China,43.0,0.5667,3.11,2.46,31/12/2025,BRC
SUP132,Packaging,USA,54.0,0.2,3.35,1.26,31/12/2025,PENDING
SUP133,Packaging,USA,43.0,0.5667,0.56,3.48,31/12/2025,FSSC22000
SUP134,Packaging,USA,47.0,0.4333,3.49,1.9,31/12/2025,BRC
SUP135,Packaging,USA,45.0,0.5,1.3,2.98,31/12/2025,PENDING
SUP136,Packaging,China,31.0,0.9667,4.82,2.97,31/12/2025,BRC
SUP137,Packaging,USA,57.0,0.1,1.17,1.83,31/12/2025,FSSC22000
SUP138,Packaging,USA,48.0,0.4,2.37,2.25,31/12/2025,PENDING
SUP139,Packaging,USA,34.0,0.8667,0.88,4.25,31/12/2025,BRC
SUP140,Packaging,China,32.0,0.9333,4.99,2.8,31/12/2025,FSSC22000
SUP141,Packaging,USA,55.0,0.1667,2.76,1.4,31/12/2025,ISO9001
SUP142,Packaging,China,55.0,0.1667,3.18,1.23,31/12/2025,FSSC22000
SUP143,Packaging,USA,50.0,0.3333,0.8,2.68,31/12/2025,ISO9001
SUP144,Packaging,China,54.0,0.2,3.87,1.05,31/12/2025,BRC
SUP145,Packaging,China,44.0,0.5333,1.44,3.02,31/12/2025,PENDING
SUP146,Packaging,USA,49.0,0.3667,4.54,1.28,31/12/2025,PENDING
SUP147,Packaging,China,51.0,0.3,1.42,2.33,31/12/2025,BRC
SUP148,Packaging,USA,53.0,0.2333,1.36,2.16,31/12/2025,PENDING
SUP149,Packaging,USA,54.0,0.2,0.66,2.34,31/12/2025,PENDING
SUP150,Packaging,USA,51.0,0.3,2.62,1.85,31/12/2025,ISO9001
SUP151,Packaging,China,42.0,0.6,3.04,2.58,31/12/2025,BRC
SUP152,Packaging,China,55.0,0.1667,0.8,2.18,31/12/2025,FSSC22000
SUP153,Packaging,USA,38.0,0.7333,3.99,2.6,31/12/2025,ISO9001
SUP154,Packaging,USA,53.0,0.2333,2.54,1.68,31/12/2025,BRC
SUP155,Packaging,China,54.0,0.2,2.86,1.46,31/12/2025,ISO9001
SUP156,Packaging,USA,47.0,0.4333,2.48,2.31,31/12/2025,FSSC22000
SUP157,Packaging,USA,56.0,0.1333,2.3,1.48,31/12/2025,FSSC22000
SUP158,Packaging,USA,30.0,1.0,3.02,3.79,31/12/2025,BRC
SUP159,Packaging,China,44.0,0.5333,1.2,3.12,31/12/2025,FSSC22000
SUP160,Packaging,China,47.0,0.4333,1.32,2.77,31/12/2025,ISO9001
